label,x,y,z
3 1,299187.5883630854,6696047.870061251,69.407455
3 2,299188.4892640574,6696047.561823742,69.31423
3 3,299189.39016502944,6696047.253586234,69.1508
3 4,299190.29106600146,6696046.945348725,69.265785
3 5,299191.1919669734,6696046.637111216,69.24089
3 6,299192.09286794544,6696046.328873707,69.18289
3 7,299192.99376891745,6696046.020636198,69.18289
3 8,299193.8946698895,6696045.712398689,69.13051
3 9,299194.7955708615,6696045.40416118,69.10065
3 10,299195.6964718335,6696045.0959236715,69.07276
3 11,299196.5973728055,6696044.787686163,69.14362
3 12,299197.4982737775,6696044.479448654,69.10776
3 13,299198.3991747495,6696044.171211145,69.11074
3 14,299199.3000757215,6696043.862973636,69.11003
3 15,299200.20097669354,6696043.554736127,69.0779
3 16,299201.10187766555,6696043.246498618,69.01574
3 17,299202.0027786376,6696042.938261109,69.157776
3 18,299202.9036796096,6696042.6300236005,69.157776
3 19,299203.8045805816,6696042.321786092,69.01071
3 20,299204.70548155357,6696042.013548583,68.918
3 21,299205.6063825256,6696041.705311074,68.96619
3 22,299206.5072834976,6696041.397073565,68.93209
3 23,299207.4081844696,6696041.088836056,68.92452
3 24,299208.30908544164,6696040.780598547,69.07443
3 25,299209.20998641365,6696040.472361039,68.98678
3 26,299210.1108873857,6696040.1641235305,68.94818
3 27,299211.01178835763,6696039.855886022,69.037415
3 28,299211.91268932965,6696039.547648513,69.037415
3 29,299212.81359030167,6696039.239411004,68.988846
3 30,299213.7144912737,6696038.931173495,69.086365
3 31,299214.6153922457,6696038.622935986,69.02874
3 32,299215.5162932177,6696038.314698477,68.975624
3 33,299216.41719418974,6696038.006460968,68.949165
3 34,299217.3180951617,6696037.69822346,69.0072
3 35,299218.2189961337,6696037.389985951,68.94176
3 36,299219.11989710573,6696037.081748442,68.91871
3 37,299220.02079807775,6696036.773510933,69.02608
3 38,299220.92169904977,6696036.465273424,69.02608
3 39,299221.8226000218,6696036.157035915,69.08307
3 40,299222.7235009938,6696035.848798406,69.138916
3 41,299223.6244019658,6696035.540560897,69.09416
3 42,299224.5253029378,6696035.232323389,69.07705
3 43,299225.4262039098,6696034.92408588,69.13818
