label,x,y,z,buried
4 58,613114.16,6651198.32,133.28415,0
4 59,613115.0663157895,6651197.895789474,133.3018,0
4 60,613115.9726315789,6651197.471578947,133.30292,0
4 61,613116.8789473684,6651197.047368421,133.32382,0
4 62,613117.7852631579,6651196.623157895,133.36642,0
4 63,613118.6915789474,6651196.198947368,133.39818,0
4 64,613119.5978947368,6651195.774736842,133.49007,0
4 65,613120.5042105264,6651195.350526316,133.51994,0
4 66,613121.4105263158,6651194.92631579,133.6018,0
4 67,613122.3168421052,6651194.502105263,133.6018,0
4 68,613123.2231578947,6651194.077894737,133.67447,0
4 69,613124.1294736842,6651193.653684211,133.70494,0
4 70,613125.0357894737,6651193.229473684,133.80911,0
4 71,613125.9421052631,6651192.805263158,133.84926,0
4 72,613126.8484210526,6651192.381052632,133.92384,0
4 73,613127.7547368421,6651191.956842106,133.94585,0
4 74,613128.6610526316,6651191.532631579,134.0233,0
4 75,613129.567368421,6651191.108421053,134.0233,0
4 76,613130.4736842106,6651190.684210527,134.1256,0
4 77,613131.38,6651190.26,134.12962,0
4 78,613132.2863157894,6651189.835789474,134.24458,0
4 79,613133.1926315789,6651189.411578948,134.23267,0
4 80,613134.0989473684,6651188.987368422,134.33612,0
4 81,613135.0052631579,6651188.563157895,134.32062,0
4 82,613135.9115789473,6651188.138947369,134.40584,0
4 83,613136.8178947368,6651187.714736843,134.38933,0
4 84,613137.7242105263,6651187.290526316,134.46759,0
4 85,613138.6305263158,6651186.8663157895,134.46358,0
4 86,613139.5368421052,6651186.4421052635,134.51132,0
4 87,613140.4431578948,6651186.017894737,134.50381,0
4 88,613141.3494736842,6651185.59368421,134.53868,0
4 89,613142.2557894737,6651185.169473684,134.53868,0
4 90,613143.1621052631,6651184.745263158,134.6006,0
4 91,613144.0684210527,6651184.321052631,134.62473,0
4 92,613144.9747368421,6651183.896842105,134.72739,0
4 93,613145.8810526315,6651183.472631579,134.72536,0
4 94,613146.787368421,6651183.048421053,134.8463,0
4 95,613147.6936842105,6651182.624210526,135.0002,0
4 96,613148.6,6651182.2,134.9826,0
5 1,612927.8,6651285.8,122.86692,0
5 2,612932.3085106383,6651283.663829787,123.09694,0
5 3,612936.8170212767,6651281.5276595745,123.33006,0
5 4,612941.325531915,6651279.391489361,123.4503,0
5 5,612945.8340425532,6651277.255319149,123.82694,0
5 6,612950.3425531915,6651275.119148936,124.0894,0
5 7,612954.8510638298,6651272.982978723,124.40362,0
5 8,612959.3595744681,6651270.846808511,124.90835,0
5 9,612963.8680851064,6651268.710638298,125.925224,0
5 10,612968.3765957447,6651266.574468085,126.976524,0
5 11,612972.885106383,6651264.438297872,127.54929,0
5 12,612977.3936170213,6651262.302127659,127.978966,0
5 13,612981.9021276596,6651260.165957447,128.29791,0
5 14,612986.4106382979,6651258.029787234,128.69994,0
5 15,612990.9191489362,6651255.893617021,128.77614,0
5 16,612995.4276595744,6651253.757446809,128.77399,0
5 17,612999.9361702128,6651251.621276596,129.0829,0
5 18,613004.4446808511,6651249.485106383,129.27762,0
5 19,613008.9531914893,6651247.34893617,129.36963,0
5 20,613013.4617021277,6651245.212765957,129.94023,0
5 21,613017.970212766,6651243.076595745,130.09583,0
5 22,613022.4787234042,6651240.940425532,130.3508,0
5 23,613026.9872340426,6651238.804255319,130.57903,0
5 24,613031.4957446809,6651236.668085107,131.07227,0
5 25,613036.0042553191,6651234.531914894,131.73653,0
5 26,613040.5127659574,6651232.395744681,131.47656,0
5 27,613045.0212765958,6651230.259574468,131.24135,0
5 28,613049.529787234,6651228.123404255,131.20695,0
5 29,613054.0382978723,6651225.987234043,131.40434,0
5 30,613058.5468085107,6651223.85106383,131.38205,0
5 31,613063.0553191489,6651221.714893617,131.55301,0
5 32,613067.5638297872,6651219.578723405,131.70795,0
5 33,613072.0723404256,6651217.442553191,131.90074,0
5 34,613076.5808510638,6651215.306382979,132.09747,0
5 35,613081.0893617021,6651213.170212766,132.31914,0
5 36,613085.5978723404,6651211.034042553,132.44302,0
5 37,613090.1063829787,6651208.897872341,132.67392,0
5 38,613094.614893617,6651206.761702128,132.91327,0
5 39,613099.1234042553,6651204.625531916,133.00743,0
5 40,613103.6319148936,6651202.489361702,133.118,0
5 41,613108.1404255319,6651200.353191489,133.16449,0
5 42,613112.6489361702,6651198.217021277,133.29488,0
5 43,613117.1574468085,6651196.080851064,133.33064,0
5 44,613121.6659574468,6651193.944680851,133.66681,0
5 45,613126.174468085,6651191.808510639,133.90842,0
5 46,613130.6829787233,6651189.672340426,134.21924,0
5 47,613135.1914893617,6651187.5361702135,134.40584,0
5 48,613139.7,6651185.4,134.58119,0
6 1,613066.36,6651399.78,127.98419,0
6 2,613067.2552631579,6651400.230105263,127.93907,0
6 3,613068.1505263158,6651400.680210527,127.97661,0
6 4,613069.0457894737,6651401.13031579,127.999405,0
6 5,613069.9410526316,6651401.580421053,127.948425,0
6 6,613070.8363157895,6651402.030526316,127.99249,0
6 7,613071.7315789474,6651402.48063158,127.97081,0
6 8,613072.6268421053,6651402.930736843,128.01175,0
6 9,613073.5221052632,6651403.3808421055,128.06538,0
6 10,613074.4173684211,6651403.830947368,128.03876,0
6 11,613075.3126315789,6651404.281052632,128.0807,0
6 12,613076.2078947368,6651404.731157895,128.12782,0
6 13,613077.1031578947,6651405.181263158,128.10701,0
6 14,613077.9984210526,6651405.631368421,128.10701,0
6 15,613078.8936842105,6651406.081473685,128.14546,0
6 16,613079.7889473684,6651406.531578948,128.13254,0
6 17,613080.6842105263,6651406.981684211,128.1744,0
6 18,613081.5794736842,6651407.431789474,128.14339,0
6 19,613082.4747368421,6651407.8818947375,128.19662,0
6 20,613083.37,6651408.332,128.24142,0
6 21,613084.2652631579,6651408.782105263,128.19952,0
6 22,613085.1605263158,6651409.232210526,128.24443,0
6 23,613086.0557894737,6651409.68231579,128.2902,0
